
2022/09/28 (12:51:35) | ===> btop++ v.1.2.9
2022/09/28 (12:51:35) | ERROR: Invalid RGB decimal value: "ba1a84"
2022/09/28 (12:52:50) | ERROR: Invalid RGB decimal value: "ba1a84"
2022/09/28 (12:52:53) | ERROR: Invalid RGB decimal value: "ba1a84"

2024/01/30 (12:52:34) | ===> btop++ v.1.3.0
2024/01/30 (12:52:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/30 (12:52:34) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/13 (12:46:53) | ===> btop++ v.1.3.2
2024/02/13 (12:46:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/13 (12:46:53) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/14 (14:08:42) | ===> btop++ v.1.3.2
2024/02/14 (14:08:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/14 (14:08:42) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/16 (15:55:22) | ===> btop++ v.1.3.2
2024/02/16 (15:55:22) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/16 (15:55:22) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/16 (15:56:21) | ===> btop++ v.1.3.2
2024/02/16 (15:56:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/16 (15:56:21) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/16 (16:02:49) | ===> btop++ v.1.3.2
2024/02/16 (16:02:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/16 (16:02:49) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/16 (16:03:11) | ===> btop++ v.1.3.2
2024/02/16 (16:03:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/16 (16:03:11) | WARNING: NVML: Failed to get GPU power usage: Not Supported
2024/02/16 (16:53:16) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!
2024/02/16 (16:53:16) | ERROR: Couldn't determine terminal size of "/dev/tty"!

2024/02/17 (21:06:09) | ===> btop++ v.1.3.2
2024/02/17 (21:06:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/17 (21:06:09) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/18 (16:44:53) | ===> btop++ v.1.3.2
2024/02/18 (16:44:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/18 (16:44:53) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/21 (11:09:21) | ===> btop++ v.1.3.2
2024/02/21 (11:09:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/21 (11:09:21) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/03/03 (19:28:40) | ===> btop++ v.1.3.2
2024/03/03 (19:28:40) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/03 (19:28:40) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/03/03 (19:30:47) | ===> btop++ v.1.3.2
2024/03/03 (19:30:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/03 (19:30:47) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/03/04 (00:02:57) | ===> btop++ v.1.3.2
2024/03/04 (00:02:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/04 (00:02:57) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/03/22 (22:42:34) | ===> btop++ v.1.3.2
2024/03/22 (22:42:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/22 (22:42:34) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/03/22 (22:44:50) | ===> btop++ v.1.3.2
2024/03/22 (22:44:50) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/22 (22:44:50) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/03/22 (22:45:29) | ===> btop++ v.1.3.2
2024/03/22 (22:45:29) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/22 (22:45:29) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/03/24 (00:18:10) | ===> btop++ v.1.3.2
2024/03/24 (00:18:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/03/24 (00:18:10) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/03/30 (22:25:44) | ===> btop++ v.1.3.2
2024/03/30 (22:25:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
